Database,Pathway,Observed_Overlap,Mean_Random_Overlap,Empirical_P_Value,FDR_q_val,Contributing_Proteins
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_MYELINATION,1,0.0379,0.03799620037996201,1.0,TNFRSF1B
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_NEURON_DIFFERENTIATION,1,0.0379,0.03799620037996201,1.0,SH3GL3
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION,1,0.0379,0.03799620037996201,1.0,TNFRSF1B
GO_Biological_Process,GOBP_REGULATION_OF_CLATHRIN_DEPENDENT_ENDOCYTOSIS,1,0.0379,0.03799620037996201,1.0,SH3GL3
GO_Biological_Process,GOBP_REGULATION_OF_MYELINATION,1,0.0379,0.03799620037996201,1.0,TNFRSF1B
GO_Biological_Process,GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,4,1.3536,0.038196180381961806,1.0,"HMGB1, LAMP1, LAMP2, LBP"
GO_Biological_Process,GOBP_MONOATOMIC_ION_HOMEOSTASIS,3,0.7923,0.0385961403859614,1.0,"LAMP1, LAMP2, NEO1"
GO_Biological_Process,GOBP_NATURAL_KILLER_CELL_PROLIFERATION,1,0.0387,0.0387961203879612,1.0,FCGR3A
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION,1,0.0387,0.0387961203879612,1.0,FCGR3A
GO_Biological_Process,GOBP_REGULATION_OF_NATURAL_KILLER_CELL_PROLIFERATION,1,0.0387,0.0387961203879612,1.0,FCGR3A
GO_Biological_Process,GOBP_CELLULAR_RESPONSE_TO_FLUID_SHEAR_STRESS,1,0.0391,0.039196080391960805,1.0,MMP2
GO_Biological_Process,GOBP_LUTEINIZATION,1,0.0391,0.039196080391960805,1.0,MMP2
