Variable_A,Variable_B,n,df,r_rm,CI_95%,p_val,p_adj,is_significant
Lymfos,IL-15,20,39,0.6541009870546158,"[0.43, 0.80]",3.5175749583702106e-06,5.9798774292293584e-05,True
Monos,IL-15,20,39,0.5534700659692904,"[0.30, 0.74]",0.00017441425388159764,0.0012434048421881717,True
Eosin,IL-15,20,39,0.47453537647831023,"[0.20, 0.68]",0.001720601241109769,0.00776026274051549,True
Basof,IL-15,20,39,0.48536267169707537,"[0.21, 0.69]",0.0012973593766264795,0.00603613520493583,True
Lactic acid,IL-15,20,39,0.5063696835418332,"[0.24, 0.70]",0.0007301652282803046,0.003842059891665436,True
Leuk,IL-12/IL-23p40,20,39,0.3000000000000001,"[-0.01, 0.56]",0.05669100677848814,0.13767815931918667,False
Eryt,IL-12/IL-23p40,20,39,0.40252368434130203,"[0.11, 0.63]",0.009077988229465466,0.03235863546309474,True
Hb,IL-12/IL-23p40,20,39,0.32914029430219144,"[0.02, 0.58]",0.03561505890517287,0.09483045804871384,False
HKR,IL-12/IL-23p40,20,39,0.4441650691979872,"[0.16, 0.66]",0.003624042773941461,0.015111574585680519,True
MCV,IL-12/IL-23p40,20,39,0.13623731522826718,"[-0.18, 0.43]",0.3956937373521563,0.5414756405871612,False
MCH,IL-12/IL-23p40,20,39,0.07905694150420946,"[-0.23, 0.38]",0.6231952830196226,0.7505512672879378,False
Trom,IL-12/IL-23p40,20,39,0.425,"[0.14, 0.65]",0.005608377882559744,0.021555678470360058,True
Neutr,IL-12/IL-23p40,20,39,-0.07499999999999946,"[-0.37, 0.24]",0.6411866947841538,0.7517361249193527,False
Lymfos,IL-12/IL-23p40,20,39,0.33962935866297356,"[0.04, 0.59]",0.02982027076098711,0.08289660173809042,False
Monos,IL-12/IL-23p40,20,39,0.37736595406997075,"[0.08, 0.61]",0.015004138812269535,0.04949126384345623,True
Eosin,IL-12/IL-23p40,20,39,0.2169304578186561,"[-0.10, 0.49]",0.17308321673949237,0.31348119151453324,False
Basof,IL-12/IL-23p40,20,39,0.2912176030182453,"[-0.02, 0.55]",0.06470334559095077,0.15224606426044085,False
Lactic acid,IL-12/IL-23p40,20,39,0.367118020567829,"[0.07, 0.61]",0.01822022500772464,0.05711588264832831,False
Leuk,GM-CSF,20,39,-0.22499999999999978,"[-0.50, 0.09]",0.1572566507556232,0.2908261072551693,False
Eryt,GM-CSF,20,39,-0.21384070730631677,"[-0.49, 0.10]",0.17943606663614683,0.31348119151453324,False
Hb,GM-CSF,20,39,-0.18988863132818734,"[-0.47, 0.13]",0.23438640166170002,0.3854262673429648,False
HKR,GM-CSF,20,39,-0.16151457061744887,"[-0.45, 0.15]",0.3130425439319446,0.4718677418011577,False
MCV,GM-CSF,20,39,-0.3308620512686467,"[-0.58, -0.03]",0.0346051083591768,0.09483045804871384,False
MCH,GM-CSF,20,39,9.108649047663538e-17,"[-0.31, 0.31]",1.0,1.0,False
Trom,GM-CSF,20,39,-0.12499999999999968,"[-0.42, 0.19]",0.43615664702310897,0.5679296819010217,False
Neutr,GM-CSF,20,39,-0.14999999999999947,"[-0.44, 0.17]",0.34923374105217975,0.49003591601607444,False
Lymfos,GM-CSF,20,39,-0.28931389812031094,"[-0.55, 0.02]",0.06655316995458983,0.15482369010488792,False
Monos,GM-CSF,20,39,-0.23899843757764797,"[-0.51, 0.07]",0.13234575356789427,0.26107281524773374,False
Eosin,GM-CSF,20,39,-0.21693045781865614,"[-0.49, 0.10]",0.17308321673949237,0.31348119151453324,False
Basof,GM-CSF,20,39,-0.12480754415067641,"[-0.42, 0.19]",0.43686898607770897,0.5679296819010217,False
Lactic acid,GM-CSF,20,39,0.025318484177091573,"[-0.28, 0.33]",0.8751432422724579,0.9226241480332628,False
Leuk,TNF-β,20,39,-0.037736595406996865,"[-0.34, 0.27]",0.8147964162115997,0.8892346073222891,False
Eryt,TNF-β,20,39,-1.1102230246251573e-16,"[-0.31, 0.31]",1.0,1.0,False
Hb,TNF-β,20,39,0.025478223832249656,"[-0.28, 0.33]",0.8743617639210064,0.9226241480332628,False
HKR,TNF-β,20,39,-0.03386116668736351,"[-0.34, 0.28]",0.8335332255776067,0.907442575628823,False
MCV,TNF-β,20,39,0.019585266453732545,"[-0.29, 0.33]",0.9032631865969278,0.9467041469792546,False
